,topic,period
10593132,6,1
10594465,8,1
10595047,7,1
10597083,6,1
10597099,8,1
10597120,13,1
10601897,0,1
10605434,17,1
10609455,0,1
10610601,0,1
10611616,18,1
10612268,15,1
10613341,3,1
10613786,2,1
10614016,8,1
10614019,18,1
10614228,0,1
10614243,0,1
10614252,0,1
10615175,0,1
10616504,0,1
10619290,17,1
10620576,8,1
10620586,0,1
10623319,16,1
10625111,14,1
10626097,12,1
10629444,10,1
10632472,11,1
10632831,6,1
10633602,8,1
10633605,1,1
10633719,0,1
10635053,5,1
10637903,17,1
10637956,5,1
10639985,9,1
10639989,18,1
10640007,7,1
10640022,7,1
10640026,0,1
10640038,0,1
10640049,0,1
10643913,10,1
10645993,0,1
10646394,8,1
10647573,7,1
10647802,8,1
10651230,13,1
10654631,17,1
10656750,0,1
10663446,17,1
10663447,8,1
10671083,0,1
10672892,8,1
10672897,15,1
10673486,8,1
10673636,0,1
10674199,15,1
10674555,0,1
10675019,10,1
10676988,10,1
10677819,6,1
10682040,15,1
10682041,15,1
10682042,8,1
10682043,8,1
10682955,0,1
10684356,1,1
10687263,1,1
10688251,1,1
10688252,1,1
10688255,1,1
10688257,1,1
10688268,8,1
10688271,17,1
10688272,17,1
10688274,14,1
10688278,0,1
10688418,11,1
10689581,10,1
10689727,0,1
10690038,0,1
10690042,0,1
10690046,0,1
10690102,0,1
10691121,18,1
10695777,13,1
10695778,4,1
10695779,12,1
10698567,8,1
10698807,5,1
10699301,0,1
10699302,3,1
10699303,3,1
10699304,15,1
10699306,3,1
10701172,8,1
10701432,10,1
10701819,13,1
10703251,8,1
10703293,7,1
10703328,0,1
10703385,0,1
10704094,10,1
10704125,10,1
10708160,7,1
10708161,3,1
10708172,2,1
10711130,8,1
10711134,7,1
10711640,3,1
10715435,0,1
10715440,0,1
10715475,0,1
10715498,8,1
10717712,0,1
10718663,10,1
10719437,0,1
10722425,0,1
10723328,7,1
10723341,3,1
10723433,0,1
10724634,11,1
10724646,11,1
10724650,11,1
10724678,0,1
10726023,11,1
10726191,0,1
10726248,0,1
10726809,2,1
10729740,0,1
10731051,0,1
10731347,0,1
10732558,0,1
10733213,10,1
10734698,17,1
10734879,0,1
10737712,5,1
10738399,0,1
10741287,12,1
10743287,0,1
10745710,7,1
10746393,0,1
10748694,0,1
10749516,17,1
10750473,6,1
10750520,17,1
